,DH_PE_MW
2000-01-13 20:00:00,130.69487950665155
2000-01-13 20:30:00,0.0
2000-01-13 21:00:00,119.37573392804029
2000-01-13 21:30:00,0.0
2000-01-13 22:00:00,113.88753670921099
2000-01-13 22:30:00,0.0
2000-01-13 23:00:00,123.54253862125387
2000-01-13 23:30:00,0.0
2000-01-14 00:00:00,0.0
2000-01-14 00:30:00,0.0
2000-01-14 01:00:00,0.0
2000-01-14 01:30:00,0.0
2000-01-14 02:00:00,0.0
2000-01-14 02:30:00,0.0
2000-01-14 03:00:00,0.0
2000-01-14 03:30:00,0.0
2000-01-14 04:00:00,0.0
2000-01-14 04:30:00,0.0
2000-01-14 05:00:00,0.0
2000-01-14 05:30:00,0.0
2000-01-14 06:00:00,0.0
2000-01-14 06:30:00,0.0
2000-01-14 07:00:00,0.0
2000-01-14 07:30:00,0.0
2000-01-14 08:00:00,0.0
2000-01-14 08:30:00,0.0
2000-01-14 09:00:00,0.0
2000-01-14 09:30:00,0.0
2000-01-14 10:00:00,0.0
2000-01-14 10:30:00,0.0
2000-01-14 11:00:00,0.0
2000-01-14 11:30:00,0.0
2000-01-14 12:00:00,0.0
2000-01-14 12:30:00,0.0
2000-01-14 13:00:00,0.0
2000-01-14 13:30:00,0.0
2000-01-14 14:00:00,0.0
2000-01-14 14:30:00,0.0
2000-01-14 15:00:00,0.0
2000-01-14 15:30:00,0.0
2000-01-14 16:00:00,0.0
2000-01-14 16:30:00,0.0
2000-01-14 17:00:00,0.0
2000-01-14 17:30:00,0.0
2000-01-14 18:00:00,0.0
2000-01-14 18:30:00,0.0
2000-01-14 19:00:00,0.0
2000-01-14 19:30:00,0.0
2000-01-14 20:00:00,128.88622943508832
2000-01-14 20:30:00,0.0
2000-01-14 21:00:00,117.91881715611659
2000-01-14 21:30:00,0.0
2000-01-14 22:00:00,112.8556186137253
2000-01-14 22:30:00,0.0
2000-01-14 23:00:00,123.03887786763397
2000-01-14 23:30:00,0.0
2000-01-15 00:00:00,0.0
2000-01-15 00:30:00,0.0
2000-01-15 01:00:00,0.0
2000-01-15 01:30:00,0.0
2000-01-15 02:00:00,0.0
2000-01-15 02:30:00,0.0
2000-01-15 03:00:00,0.0
2000-01-15 03:30:00,0.0
2000-01-15 04:00:00,0.0
2000-01-15 04:30:00,0.0
2000-01-15 05:00:00,0.0
2000-01-15 05:30:00,0.0
2000-01-15 06:00:00,0.0
2000-01-15 06:30:00,0.0
2000-01-15 07:00:00,0.0
2000-01-15 07:30:00,0.0
2000-01-15 08:00:00,0.0
2000-01-15 08:30:00,0.0
2000-01-15 09:00:00,0.0
2000-01-15 09:30:00,0.0
2000-01-15 10:00:00,0.0
2000-01-15 10:30:00,0.0
2000-01-15 11:00:00,0.0
2000-01-15 11:30:00,0.0
2000-01-15 12:00:00,0.0
2000-01-15 12:30:00,0.0
2000-01-15 13:00:00,0.0
2000-01-15 13:30:00,0.0
2000-01-15 14:00:00,0.0
2000-01-15 14:30:00,0.0
2000-01-15 15:00:00,0.0
2000-01-15 15:30:00,0.0
2000-01-15 16:00:00,0.0
2000-01-15 16:30:00,0.0
2000-01-15 17:00:00,0.0
2000-01-15 17:30:00,0.0
2000-01-15 18:00:00,117.7855520142747
2000-01-15 18:30:00,0.0
2000-01-15 19:00:00,135.1427083110458
2000-01-15 19:30:00,0.0
2000-01-15 20:00:00,133.26638532484753
2000-01-15 20:30:00,0.0
2000-01-15 21:00:00,122.01621335018298
2000-01-15 21:30:00,0.0
2000-01-15 22:00:00,116.55885731736736
2000-01-15 22:30:00,0.0
2000-01-15 23:00:00,126.24808075784739
2000-01-15 23:30:00,0.0
2000-01-16 00:00:00,0.0
2000-01-16 00:30:00,0.0
2000-01-16 01:00:00,0.0
2000-01-16 01:30:00,0.0
2000-01-16 02:00:00,0.0
2000-01-16 02:30:00,0.0
2000-01-16 03:00:00,0.0
2000-01-16 03:30:00,0.0
2000-01-16 04:00:00,0.0
2000-01-16 04:30:00,0.0
2000-01-16 05:00:00,0.0
2000-01-16 05:30:00,0.0
2000-01-16 06:00:00,0.0
2000-01-16 06:30:00,0.0
2000-01-16 07:00:00,0.0
2000-01-16 07:30:00,0.0
2000-01-16 08:00:00,0.0
2000-01-16 08:30:00,0.0
2000-01-16 09:00:00,0.0
2000-01-16 09:30:00,0.0
2000-01-16 10:00:00,0.0
2000-01-16 10:30:00,0.0
